trial_id,publication_doi,registry_id,population_adult,icu_setting,design_superiority,randomization_unit,primary_outcome_label,primary_outcome_timepoint,adverse_event_direction,p0_assumed,p1_assumed,effect_assumed_scale,effect_assumed_value,target_analyzable_n,target_randomized_n,attrition_allowance,target_power,alpha,tail,allocation_ratio,actual_randomized_n,actual_primary_analysis_n,n0_observed,x0_observed,n1_observed,x1_observed,effect_observed_value,negative_primary,recruitment_shortfall,design_recalculation_status,cer_error_pp,counterfactual_mde_scale,counterfactual_mde_value,mde_to_assumed_effect_ratio,control_event_rate_compromised,agent_disagreement_status
RSI_NCT05277896,10.1056/NEJMoa2511420,NCT05277896,yes,14 US emergency departments and ICUs; critically ill adults undergoing emergency tracheal intubation,yes,individual,All-cause in-hospital mortality,28 days,higher_worse,0.3,0.248,absolute_difference,0.052,2308,2364,0.03,0.8,0.05,two_sided,1:1,2365,2359,1186,345,1173,330,0.009564,yes,no,reproduced,0.910624,absolute_difference,0.051457,0.989564,no,resolved
BICARICU2_NCT04010630,10.1001/jama.2025.20231,NCT04010630,yes,43 French adult ICUs; severe metabolic acidemia with moderate-to-severe acute kidney injury,yes,individual,Day 90 all-cause mortality,Day 90,higher_worse,0.8,0.7,absolute_difference,0.1,588,640,0.08,0.8,0.05,two_sided,1:1,640,627,313,193,314,195,-0.004406,yes,no,reproduced,18.338658,absolute_difference,0.1144882,1.144882,yes,resolved
UKROX_ISRCTN13384956,10.1001/jama.2025.9663,ISRCTN13384956,yes,97 adult ICUs in the United Kingdom; invasively ventilated critically ill adults,yes,individual,All-cause mortality,90 days,higher_worse,0.37,0.345,absolute_difference,0.025,15444,16500,0.06,0.9,0.05,two_sided,1:1,16500,16434,8183,2858,8211,2908,-0.007,yes,no,reproduced,2.073934,absolute_difference,0.02465417,0.986167,no,resolved
OPTPRESS_UMIN000041775,10.1007/s00134-025-07910-4,UMIN000041775,yes,29 Japanese hospitals; ICU patients aged >=65 years with septic shock,yes,individual,All-cause mortality,90 days after randomization,higher_worse,0.45,0.35,absolute_difference,0.1,752,836,0.1,0.8,0.05,two_sided,1:1,518,516,259,74,257,101,-0.107282,no,yes,reproduced,16.428571,absolute_difference,0.087378,0.873779,no,resolved
TESTS_NCT02867267,10.1136/bmj-2024-082583,NCT02867267,yes,"Multicenter adult sepsis trial; study drug continued until ICU discharge, death, withdrawal, or 7 days",yes,individual,All-cause mortality,28 days after randomization,higher_worse,0.35,0.27,absolute_difference,0.08,1052,1106,0.05,0.8,0.025,one_sided,1:1,1106,1089,547,132,542,127,0.006999,yes,no,reproduced,10.868373,absolute_difference,0.069838,0.872977,no,resolved
WIN_IN_WEAN_NCT02123940,10.1186/s13054-024-05166-w,NCT02123940,yes,9 French and 3 Chinese ICUs; adults ventilated >48 h without COPD and at high risk of postextubation failure,yes,individual,Postextubation respiratory failure,Within 48 hours after extubation,higher_worse,0.65,0.455,RRR,0.3,192,650,0.1,0.8,0.05,two_sided,1:1,664,227,99,28,128,19,0.475167410714286,no,no,failed,36.717172,,,,no,resolved
TRAIN_NCT02968654,10.1001/jama.2024.20424,NCT02968654,yes,"72 ICUs in 22 countries; adults with traumatic brain injury, subarachnoid hemorrhage, or intracerebral hemorrhage and anemia",yes,individual,Unfavorable neurologic outcome (extended Glasgow Outcome Scale 1-5),180 days after randomization,higher_worse,0.5,0.39,absolute_difference,0.11,756,794,0.05,0.85,0.05,two_sided,1:1,850,806,413,300,393,246,0.100438,no,no,reproduced,-22.639225,absolute_difference,0.101837,0.925791,no,resolved
NCT01862016,10.1007/s00134-024-07612-3,NCT01862016,yes,22 French adult ICUs treating moderate or severe ARDS,yes,individual,in-hospital death from any cause,day 60 after randomisation,higher_worse,0.35,0.25,absolute_difference,0.1,700,700,,0.8,0.05,two_sided,1:1,700,699,352,118,347,120,-0.010594052921,yes,no,failed,1.477272727273,,,,unclear,resolved
NCT03213990,10.1001/jama.2024.9779,NCT03213990,yes,104 adult ICUs in seven countries enrolling critically ill adults with sepsis,yes,individual,all-cause mortality,90 days after randomisation,higher_worse,0.275,0.24,absolute_difference,0.035,6558,7000,0.05,0.9,0.05,two_sided,1:1,7202,7031,3507,939,3474,864,0.019045550646,yes,no,reproduced,0.7249786142,absolute_difference,0.03467326,0.9906645,no,resolved
NCT03374800,10.1056/NEJMoa2404245,NCT03374800,yes,68 international ICUs enrolling invasively ventilated critically ill adults,yes,individual,clinically important upper gastrointestinal bleeding,in ICU or resulting in ICU readmission through 90 days after randomisation,higher_worse,0.03,0.015,RRR,0.5,4800,4800,,0.85,0.05,two_sided,1:1,4821,4762,2377,84,2385,25,0.703379255266,no,no,partial,-0.533866217922,,,,no,adjudication_required
PMID38741134,10.1186/s13054-024-04947-7,,yes,single-hospital adult ICUs enrolling comatose patients requiring urinary catheterisation,yes,individual,catheter-associated urinary tract infection,day 10 after catheterisation,higher_worse,0.25,0.11,absolute_difference,0.14,418,440,0.05,0.9,0.05,unclear,1:1,669,446,221,47,225,23,0.110447461036,no,no,partial,3.733031674208,,,,no,adjudication_required
NCT03477344,10.1186/s13054-024-04842-1,NCT03477344,yes,nine French cardiac-surgery ICUs enrolling adults aged at least 65 years,yes,individual,occurrence of postoperative delirium,within 7 days after surgery,higher_worse,0.25,0.125,RRR,0.5,332,348,0.05,0.9,0.05,one_sided,1:1,333,331,166,20,165,20,-0.0060606060606061,yes,yes,reproduced,12.951807228916,RRR,0.709793092,1.419586184,yes,resolved
REVIVAL_NCT04411472,10.1007/s00134-023-07271-w,NCT04411472,yes,"107 sites across North America, Europe, Japan, and Oceania; critically ill adults with sepsis-associated acute kidney injury requiring vasopressors",yes,individual,28-day all-cause mortality,day 28,higher_worse,0.35,0.27,absolute_difference,0.08,1400,1400,,0.856,0.025,one_sided,1:1,650,567,283,70,284,79,-0.030819190763,yes,yes,partial,10.265017667845,,,,unclear,resolved
AMIKINHAL_NCT03149640,10.1056/NEJMoa2310307,NCT03149640,yes,19 French intensive care units; critically ill adults invasively ventilated for at least 72 hours,yes,individual,First episode of ventilator-associated pneumonia,randomization through day 28,higher_worse,0.12,0.06,RRR,0.5,850,850,,0.8,0.05,two_sided,1:1,850,847,430,95,417,62,0.327022592452,no,no,partial,-10.093023255814,,,,unclear,resolved
MERCY_NCT03452839,10.1001/jama.2023.10598,NCT03452839,yes,"31 ICUs in 26 hospitals across Croatia, Italy, Kazakhstan, and Russia; critically ill adults with sepsis or septic shock prescribed meropenem",yes,individual,Composite of all-cause mortality and emergence of pandrug-resistant or extensively drug-resistant bacteria,day 28,higher_worse,0.52,0.40,absolute_difference,0.12,600,600,,0.8,0.05,two_sided,1:1,607,607,304,149,303,142,0.021484714261,yes,no,partial,2.986842105263,,,,unclear,resolved
DAMIS_NCT04173221,10.1007/s00134-023-07098-5,NCT04173221,yes,Four German tertiary-referral ICUs; adults with circulatory shock requiring vasopressors after fluid resuscitation and lactate above 2 mmol/L,yes,individual,30-day mortality,day 30,higher_worse,0.57,0.38,absolute_difference,0.19,186,200,0.07,0.8,0.05,two_sided,1:1,141,140,72,25,68,32,-0.123366013072,yes,yes,partial,22.277777777778,,,,unclear,resolved
OptiTHO_NCT03943914,10.1186/s13054-023-04429-2,NCT03943914,yes,12 French ICUs; adults admitted within 48 hours after high-risk hypoxemic blunt chest trauma,yes,individual,Need for endotracheal intubation for delayed respiratory failure,within 14 days after randomization and/or end of hospitalization,higher_worse,0.25,0.12,absolute_difference,0.13,278,278,,0.8,0.05,two_sided,1:1,141,141,70,6,71,5,0.015291750503,yes,yes,reproduced,16.428571428571,absolute_difference,0.072544669565,0.558035919728,no,resolved
PREVHAP_NCT04793568,10.1007/s00134-023-07065-0,NCT04793568,yes,11 European hospital ICUs; critically ill adults with acute organ failure receiving invasive mechanical ventilation,yes,individual,Composite of hospital-acquired pneumonia or all-cause mortality,day 28,higher_worse,0.35,0.21875,HR,0.625,200,200,,0.90,0.05,two_sided,1:1,109,108,53,16,55,26,1.76,yes,yes,partial,4.811320754717,,,,unclear,resolved
CAPECOD_NCT02517489,10.1056/NEJMoa2215145,NCT02517489,yes,31 French ICUs or intermediate critical-care units; adults with severe community-acquired pneumonia,yes,individual,All-cause mortality,day 28,higher_worse,0.27,0.2025,RRR,0.25,1165,1200,0.0291666667,0.80,0.05,two_sided,1:1,800,795,395,47,400,25,0.474734042553,no,yes,partial,15.101265822785,,,,no,resolved
VALSE_NCT01791868,10.1186/s13054-022-04292-7,NCT01791868,yes,16 French ICUs; adults admitted for generalized convulsive status epilepticus,yes,individual,Living patients discharged from hospital to home or long-term care facility,day 15,higher_better,0.50,0.70,absolute_difference,0.20,248,300,0.173333333333,0.90,0.05,two_sided,1:1,245,244,118,72,126,77,0.000941619586,yes,yes,reproduced,-11.016949152542,absolute_difference,0.186469172812,0.932345864062,no,resolved
HFOSBT_NCT03929328,10.1186/s13054-022-04281-w,NCT03929328,yes,Single South Korean medical ICU; adults mechanically ventilated at least 12 hours and ready for a spontaneous breathing trial,yes,individual,Weaning failure (SBT failure within 72 hours or reintubation/death after extubation),day 2,higher_worse,0.42,0.15,absolute_difference,0.27,98,108,0.10,0.85,0.05,two_sided,1:1,108,108,54,5,54,3,0.037037037037,yes,no,partial,32.740740740741,,,,unclear,resolved
NIVHFNC_NCT04125342,10.1007/s00134-022-06919-3,NCT04125342,yes,Two Spanish ICUs; critically ill adults at very high risk for extubation failure,yes,individual,All-cause reintubation,within 7 days after extubation,higher_worse,0.45,0.24,absolute_difference,0.21,160,176,0.10,0.80,0.05,two_sided,1:1,182,182,90,35,92,21,0.160628019324,no,no,reproduced,6.111111111111,absolute_difference,0.199363590038,0.949350428754,no,resolved
EXACT-NCT03138005,10.1001/jama.2022.17701,NCT03138005,yes,prehospital OHCA with planned admission to a participating ICU,yes,individual,survival to hospital discharge,hospital discharge,higher_better,0.35,0.44,RR,1.25,1286,1416,0.10,0.90,0.049,two_sided,1:1,428,425,211,101,214,82,0.800499704229457,yes,yes,reproduced,-12.8672985781991,,,,unclear,resolved
NCT03872011,10.1186/s13054-022-04175-x,NCT03872011,yes,adult ICU patients with septic shock within 12 hours,yes,individual,90-day all-cause mortality,day 90 after randomization,higher_worse,0.40,0.25,absolute_difference,0.15,406,426,0.05,0.90,0.05,two_sided,1:1,426,426,213,83,213,86,-0.0140845070422535,yes,no,reproduced,1.03286384976526,absolute_difference,0.148733814669052,0.991558764460348,no,none
SOHO-COVID-NCT04468126,10.1001/jama.2022.15613,NCT04468126,yes,34 French ICUs treating COVID-19 acute hypoxemic respiratory failure,yes,individual,all-cause mortality,day 28 after randomization,higher_worse,0.25,0.15,absolute_difference,0.10,670,720,,0.90,0.05,two_sided,1:1,782,711,354,40,357,36,0.0121540141480321,yes,no,reproduced,13.7005649717514,absolute_difference,0.0674542014847894,0.674542014847894,no,none
TRACE-NCT02473406,10.1007/s00134-022-06745-7,NCT02473406,yes,multicenter critically ill adults with predicted severe acute necrotising pancreatitis,yes,individual,infected pancreatic necrosis,during index admission,higher_worse,0.25,0.15,absolute_difference,0.10,500,520,0.04,0.80,0.05,two_sided,1:1,508,508,254,46,254,40,0.0236220472440945,yes,yes,reproduced,6.88976377952756,absolute_difference,0.0862199091201537,0.862199091201537,no,none
CLASSIC-NCT03668236,10.1056/NEJMoa2202707,NCT03668236,yes,international adult ICUs treating septic shock,yes,individual,all-cause mortality,day 90 after randomization,higher_worse,0.45,0.38,RRR,0.155555555555556,1554,1554,,0.80,0.05,two_sided,1:1,1554,1545,781,329,764,323,-0.00360842788714014,yes,no,reproduced,2.87451984635083,RRR,0.164191850926597,1.05551904167098,yes,resolved
CandiSep_NCT02734550,10.1007/s00134-022-06733-x,NCT02734550,yes,18 German intensive care units,yes,individual,28-day all-cause mortality,28 days after inclusion,higher_worse,0.498,0.342,absolute_difference,0.156,312,348,0.10,0.80,0.05,two_sided,1:1,342,339,167,51,172,58,-0.03182008,yes,yes,reproduced,19.26107784,absolute_difference,0.13459750,0.86280480,no,none
LOVIT_NCT03680274,10.1056/NEJMoa2200644,NCT03680274,yes,"adult ICUs in Canada, New Zealand, France, and Saudi Arabia",yes,individual,composite of death or persistent organ dysfunction,day 28,higher_worse,0.50,0.40,absolute_difference,0.10,770,800,0.0375,0.80,0.05,two_sided,1:1,872,863,434,167,429,191,-0.06042882,no,no,reproduced,11.52073733,absolute_difference,0.09531004,0.95310040,no,none
NICOVID-REA_NCT04598594,10.1007/s00134-022-06721-1,NCT04598594,yes,18 French intensive care units,yes,individual,day-28 mortality,day 28,higher_worse,0.35,0.20,absolute_difference,0.15,220,220,,0.80,0.05,one_sided,1:1,220,218,112,31,106,30,-0.00623315,yes,no,reproduced,7.32142857,absolute_difference,0.13566370,0.90442440,no,none
COVI-PRONE-NCT04350723,10.1001/jama.2022.7993,NCT04350723,yes,adult ICU or monitored acute-care patients with COVID-19 hypoxemic respiratory failure,yes,individual,endotracheal intubation,within 30 days of randomization,higher_worse,0.45,0.315,absolute_difference,0.135,400,400,,0.80,0.05,two_sided,1:1,400,400,195,79,205,70,0.0636647904940588,yes,no,reproduced,4.48717948717949,absolute_difference,0.132229388956262,0.979476955231572,no,none
ESCAPe-NCT01283009,10.1007/s00134-022-06684-3,NCT01283009,yes,adult Veterans Affairs ICU patients with severe community-acquired pneumonia,yes,individual,all-cause mortality,day 60 after randomization,higher_worse,0.28,0.21,absolute_difference,0.07,1406,1420,0.01,0.85,0.05,two_sided,1:1,586,584,277,50,286,47,0.0161697508267906,yes,yes,reproduced,9.94945848375451,absolute_difference,0.0572941964657657,0.818488520939509,no,none
HYPO-ECMO-NCT02754193,10.1001/jama.2021.24776,NCT02754193,yes,adult cardiac-shock ICUs using VA-ECMO,yes,individual,all-cause mortality,day 30 after randomization,higher_worse,0.50,0.35,absolute_difference,0.15,334,334,,0.80,0.049,two_sided,1:1,374,334,166,84,168,71,0.0834050487664945,yes,no,reproduced,-0.602409638554213,absolute_difference,0.151722232993526,1.01148155329017,no,resolved
